sample	Subset
A0A1B0GTH6.7...37	G1
A2A288.276...290	G1
A2RU54.105...115	G1
A6NCW0.120...133	G1
A6NCW7.120...133	G1
A6NDE4.28...33	G1
A6NDX5.113...138	G1
A6NEQ0.28...33	G1
A6NHQ2.3...41	G1
A6NJT0.3...17	G1
A6NLJ0.115...133	G1
A6NM28.52...67	G1
A6NN14.258...266	G1
A8MV65.245...258	G1
B2RXH2.207...217	G1
B2RXH2.431...446	G1
B3EWF7.123...134	G1
C9JE40.138...162	G1
O00148.108...122	G1
O00167.135...162	G1
O00257.386...394	G1
O00512.547...560	G1
O00716.108...142	G1
O14503.103...122	G1
O14512.169...190	G1
O14512.375...386	G1
O14558.86...103	G1
O14646.102...116	G1
O14656.136...143	G1
O14682.41...58	G1
O14713.7...37	G1
O14770.364...383	G1
O14770.436...448	G1
O14776.55...64	G1
O15069.43...72	G1
O15090.19...41	G1
O15111.18...28	G1
O15194.119...134	G1
O15194.141...166	G1
O15265.808...820	G1
O15266.200...226	G1
O15296.86...121	G1
O15350.384...399	G1
O15360.160...187	G1
O15379.338...345	G1
O15381.295...322	G1
O15409.125...163	G1
O15499.81...101	G1
O15504.1...40	G1
O15524.129...147	G1
O15550.231...254	G1
O43143.87...100	G1
O43248.46...71	G1
O43255.56...73	G1
O43361.65...79	G1
O43365.323...334	G1
O43379.18...36	G1
O43379.316...327	G1
O43439.251...263	G1
O43474.340...359	G1
O43482.83...106	G1
O43542.117...135	G1
O43660.20...35	G1
O43665.11...31	G1
O43683.144...160	G1
O43818.234...244	G1
O43823.103...115	G1
O43913.183...196	G1
O43929.160...174	G1
O60216.561...575	G1
O60238.85...97	G1
O60248.53...77	G1
O60293.56...74	G1
O60381.1...21	G1
O60447.40...57	G1
O60481.81...107	G1
O60506.429...459	G1
O60508.252...265	G1
O60806.118...137	G1
O60885.289...302	G1
O60885.729...754	G1
O60885.1039...1055	G1
O60902.252...264	G1
O60907.26...29	G1
O60921.122...131	G1
O60934.290...303	G1
O75081.158...172	G1
O75123.52...56	G1
O75182.3...22	G1
O75373.68...80	G1
O75478.225...230	G1
O75689.310...329	G1
O75694.362...374	G1
O75771.18...36	G1
O75791.191...205	G1
O75909.265...281	G1
O94776.401...421	G1
O94776.592...608	G1
O94850.49...63	G1
O94850.206...211	G1
O94851.155...168	G1
O94906.6...39	G1
O95072.86...103	G1
O95163.320...341	G1
O95163.415...439	G1
O95218.209...218	G1
O95231.27...40	G1
O95243.437...447	G1
O95259.9...26	G1
O95319.172...192	G1
O95343.17...48	G1
O95402.526...541	G1
O95409.154...167	G1
O95409.234...250	G1
O95619.103...120	G1
O95625.608...619	G1
O95644.749...773	G1
O95718.23...35	G1
O95817.112...127	G1
O95935.178...200	G1
O95936.294...309	G1
O95947.179...191	G1
O95947.354...368	G1
O95948.29...68	G1
O95948.169...189	G1
O96004.3...29	G1
O96006.324...339	G1
O96028.258...265	G1
P00533.413...420	G1
P02511.6...9	G1
P04049.231...255	G1
P04049.434...450	G1
P04198.136...149	G1
P04406.110...137	G1
P04626.1...37	G1
P07199.85...100	G1
P09234.128...148	G1
P0C7H9.116...132	G1
P0C7I0.120...136	G1
P0C7P1.28...33	G1
P0CJ78.237...257	G1
P0CJ78.708...723	G1
P0DJD3.28...33	G1
P0DJD4.28...33	G1
P0DN79.62...66	G1
P10070.54...72	G1
P10071.1328...1349	G1
P10072.113...141	G1
P10075.31...45	G1
P10914.1...23	G1
