sample	Subset
A0A0U1RQI7.54...56	G1
A0A1W2PPM1.1...24	G1
A4D1E9.157...164	G1
A4GXA9.17...46	G1
A6NCW7.171...173	G1
A6NK53.154...163	G1
A6NK75.69...71	G1
A6NNY8.1...36	G1
A8K0S8.272...288	G1
A8MPP1.151...169	G1
A8MT65.347...359	G1
A8MTQ0.149...172	G1
A8MXY4.792...800	G1
B2RXH8.92...120	G1
B4DXR9.186...212	G1
B7ZW38.91...120	G1
E7ETH6.239...254	G1
E9PGG2.240...247	G1
O00299.152...167	G1
O00327.27...53	G1
O00327.198...200	G1
O00422.5...18	G1
O00470.295...313	G1
O00482.82...111	G1
O00567.511...548	G1
O00625.209...214	G1
O00629.4...10	G1
O00629.49...72	G1
O00716.254...267	G1
O14607.24...41	G1
O14628.325...338	G1
O14628.493...507	G1
O14646.1355...1373	G1
O14647.1...20	G1
O14647.197...221	G1
O14647.223...254	G1
O14682.80...90	G1
O14709.975...998	G1
O14757.308...323	G1
O14770.302...316	G1
O14771.19...42	G1
O14813.166...190	G1
O15015.314...328	G1
O15054.1013...1029	G1
O15054.1348...1350	G1
O15090.657...682	G1
O15164.24...38	G1
O15178.12...41	G1
O15178.227...236	G1
O15234.211...228	G1
O15266.16...21	G1
O15266.30...31	G1
O15381.625...629	G1
O43143.50...55	G1
O43148.8...35	G1
O43159.56...75	G1
O43167.439...445	G1
O43345.59...74	G1
O43345.779...789	G1
O43345.998...1018	G1
O43361.665...676	G1
O43395.82...126	G1
O43660.60...78	G1
O43665.81...100	G1
O43679.25...48	G1
O43719.115...130	G1
O43791.93...98	G1
O43805.31...45	G1
O60216.398...435	G1
O60260.361...377	G1
O60291.372...389	G1
O60336.98...111	G1
O60479.27...36	G1
O60548.146...155	G1
O60563.264...282	G1
O60812.91...120	G1
O60934.462...486	G1
O60934.625...641	G1
O75123.19...42	G1
O75151.896...903	G1
O75319.1...14	G1
O75386.93...98	G1
O75419.151...167	G1
O75437.263...276	G1
O75475.229...249	G1
O75475.314...327	G1
O75530.12...37	G1
O75603.184...200	G1
O75618.214...221	G1
O75818.198...204	G1
O75820.426...445	G1
O75821.6...28	G1
O75909.341...351	G1
O75928.478...501	G1
O75937.11...33	G1
O76081.4...16	G1
O94818.161...163	G1
O94818.497...522	G1
