sample	Subset
A0A0U1RQI7.86...102	G1
A1L4K1.36...68	G1
A2RU54.25...73	G1
A2RUB1.198...206	G1
A6NF01.120...140	G1
A6NJG6.84...110	G1
A6NK53.3...24	G1
A6NK53.59...70	G1
A6NKF2.311...335	G1
A6NNF4.60...74	G1
A8CG34.501...518	G1
A8MTY0.55...72	G1
A8MU46.52...70	G1
A8MUZ8.15...38	G1
A8MVS1.4...34	G1
A9UHW6.2...27	G1
B4DXR9.2...26	G1
O00231.30...37	G1
O00267.60...77	G1
O00299.1...20	G1
O00425.1...23	G1
O00444.1...21	G1
O00750.20...39	G1
O14641.1...36	G1
O14753.16...40	G1
O14818.6...33	G1
O14862.18...30	G1
O15060.120...132	G1
O15198.49...67	G1
O15294.3...36	G1
O15297.6...38	G1
O15304.58...72	G1
O15446.428...442	G1
O15523.272...287	G1
O15523.385...391	G1
O15525.73...98	G1
O15550.24...43	G1
O43148.127...157	G1
O43172.81...109	G1
O43236.11...29	G1
O43299.25...39	G1
O43345.400...417	G1
O43345.1061...1074	G1
O43395.618...650	G1
O43524.25...71	G1
O43543.21...40	G1
O60216.28...41	G1
O60563.19...35	G1
O60566.1...31	G1
O60663.25...37	G1
O60674.49...58	G1
O60832.17...38	G1
O60832.437...460	G1
O60934.546...570	G1
O75132.10...40	G1
O75469.2...29	G1
O75506.64...74	G1
O75525.8...23	G1
O75526.22...37	G1
O75554.162...180	G1
O75665.83...106	G1
O75791.6...26	G1
O75832.19...39	G1
O75971.6...25	G1
O76039.212...228	G1
O94811.20...47	G1
O94888.20...43	G1
O94888.271...289	G1
O94953.1048...1071	G1
O94993.182...200	G1
O95059.6...36	G1
O95259.131...146	G1
O95400.2...23	G1
O95551.11...44	G1
O95789.8...31	G1
O95905.8...36	G1
O95931.42...72	G1
O95983.2...22	G1
O95997.1...20	G1
P00441.1...22	G1
P02511.85...106	G1
P04083.6...34	G1
P06401.777...790	G1
P06493.37...56	G1
P08235.8...36	G1
P0C7X5.1...26	G1
P0CG47.1...26	G1
P0CG47.120...134	G1
P0CG48.1...26	G1
P0CG48.120...134	G1
P0CG48.349...356	G1
P0CH99.4...34	G1
P0CI00.4...34	G1
P0CJ79.7...24	G1
P10243.82...98	G1
P10599.2...20	G1
P10828.6...37	G1
P11308.12...35	G1
P11309.19...37	G1
P11802.211...222	G1
P11940.338...358	G1
P12525.233...253	G1
P12980.10...19	G1
P12980.131...142	G1
P14866.124...149	G1
P17010.603...630	G1
P17035.7...24	G1
P17039.233...243	G1
P17039.259...275	G1
P17480.159...177	G1
P17612.3...27	G1
P17844.276...297	G1
P17844.315...336	G1
P18858.57...75	G1
P19388.61...90	G1
P21675.305...321	G1
P22694.5...26	G1
P23508.19...37	G1
P25788.178...186	G1
P25963.84...109	G1
P28715.1...26	G1
P29375.1508...1520	G1
P30047.23...54	G1
P30279.33...68	G1
P30876.36...50	G1
P31947.18...37	G1
P31948.5...23	G1
P33076.145...163	G1
P35244.33...69	G1
P35249.54...69	G1
P35557.3...30	G1
P35711.11...43	G1
P35716.62...79	G1
P36508.384...413	G1
P36873.1...24	G1
P38159.24...37	G1
P38398.19...35	G1
P41162.46...70	G1
P41182.118...134	G1
P41223.30...50	G1
P41229.211...231	G1
P41743.97...112	G1
P42166.2...13	G1
P42167.2...13	G1
P42568.263...295	G1
P42685.1...28	G1
P43246.1...21	G1
P43351.182...197	G1
P43363.1...21	G1
P49759.435...470	G1
P49760.445...492	G1
P49773.54...77	G1
P49796.675...691	G1
P49848.71...85	G1
P49916.919...937	G1
P50458.5...30	G1
P50539.1...29	G1
P51508.553...568	G1
P51513.20...51	G1
P51826.991...1001	G1
P52434.1...39	G1
