Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
Q9UHB7	AFF4_HUMAN	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	AFF4 AF5Q31 MCEF HSPC092	Homo sapiens (Human)	1163	TFs
P51816	AFF2_HUMAN	reviewed	AF4/FMR2 family member 2 (Fragile X E mental retardation syndrome protein) (Fragile X mental retardation 2 protein) (FMR2P) (Protein FMR-2) (Protein Ox19)	AFF2 FMR2 OX19	Homo sapiens (Human)	1311	TFs
P51825	AFF1_HUMAN	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	1210	TFs
P51826	AFF3_HUMAN	reviewed	AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4)	AFF3 LAF4	Homo sapiens (Human)	1226	TFs
Q7Z6R9	AP2D_HUMAN	reviewed	Transcription factor AP-2-delta (AP2-delta) (Activating enhancer-binding protein 2-delta) (Transcription factor AP-2-beta-like 1)	TFAP2D TFAP2BL1	Homo sapiens (Human)	452	TFs
Q92754	AP2C_HUMAN	reviewed	Transcription factor AP-2 gamma (AP2-gamma) (Activating enhancer-binding protein 2 gamma) (Transcription factor ERF-1)	TFAP2C	Homo sapiens (Human)	450	TFs
Q92481	AP2B_HUMAN	reviewed	Transcription factor AP-2-beta (AP2-beta) (Activating enhancer-binding protein 2-beta)	TFAP2B	Homo sapiens (Human)	460	TFs
Q6VUC0	AP2E_HUMAN	reviewed	Transcription factor AP-2-epsilon (AP2-epsilon) (Activating enhancer-binding protein 2-epsilon)	TFAP2E	Homo sapiens (Human)	442	TFs
P05549	AP2A_HUMAN	reviewed	Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2)	TFAP2A AP2TF TFAP2	Homo sapiens (Human)	437	TFs
Q99856	ARI3A_HUMAN	reviewed	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1) (E2F-binding protein 1)	ARID3A DRIL1 DRIL3 DRX E2FBP1	Homo sapiens (Human)	593	TFs
Q14865	ARI5B_HUMAN	reviewed	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (MRF1-like protein) (Modulator recognition factor 2) (MRF-2)	ARID5B DESRT MRF2	Homo sapiens (Human)	1188	TFs
O14497	ARI1A_HUMAN	reviewed	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	Homo sapiens (Human)	2285	TFs
Q68CP9	ARID2_HUMAN	reviewed	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2 BAF200 KIAA1557	Homo sapiens (Human)	1835	TFs
Q92833	JARD2_HUMAN	reviewed	Protein Jumonji (Jumonji/ARID domain-containing protein 2)	JARID2 JMJ	Homo sapiens (Human)	1246	TFs
Q8IVW6	ARI3B_HUMAN	reviewed	AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein)	ARID3B BDP DRIL2	Homo sapiens (Human)	561	TFs
P29374	ARI4A_HUMAN	reviewed	AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1)	ARID4A RBBP1 RBP1	Homo sapiens (Human)	1257	TFs
Q03989	ARI5A_HUMAN	reviewed	AT-rich interactive domain-containing protein 5A (ARID domain-containing protein 5A) (Modulator recognition factor 1) (MRF-1)	ARID5A MRF1	Homo sapiens (Human)	594	TFs
Q4LE39	ARI4B_HUMAN	reviewed	AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Breast cancer-associated antigen BRCAA1) (Histone deacetylase complex subunit SAP180) (Retinoblastoma-binding protein 1-like 1)	ARID4B BRCAA1 RBBP1L1 RBP1L1 SAP180	Homo sapiens (Human)	1312	TFs
Q8NFD5	ARI1B_HUMAN	reviewed	AT-rich interactive domain-containing protein 1B (ARID domain-containing protein 1B) (BRG1-associated factor 250b) (BAF250B) (BRG1-binding protein hELD/OSA1) (Osa homolog 2) (hOsa2) (p250R)	ARID1B BAF250B DAN15 KIAA1235 OSA2	Homo sapiens (Human)	2236	TFs
Q9UGL1	KDM5B_HUMAN	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.-) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1)	KDM5B JARID1B PLU1 RBBP2H1	Homo sapiens (Human)	1544	TFs
P41229	KDM5C_HUMAN	reviewed	Lysine-specific demethylase 5C (EC 1.14.11.-) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169)	KDM5C DXS1272E JARID1C SMCX XE169	Homo sapiens (Human)	1560	TFs
A6NKF2	ARI3C_HUMAN	reviewed	AT-rich interactive domain-containing protein 3C (ARID domain-containing protein 3C)	ARID3C	Homo sapiens (Human)	412	TFs
P29375	KDM5A_HUMAN	reviewed	Lysine-specific demethylase 5A (EC 1.14.11.-) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2)	KDM5A JARID1A RBBP2 RBP2	Homo sapiens (Human)	1690	TFs
Q9BY66	KDM5D_HUMAN	reviewed	Lysine-specific demethylase 5D (EC 1.14.11.-) (Histocompatibility Y antigen) (H-Y) (Histone demethylase JARID1D) (Jumonji/ARID domain-containing protein 1D) (Protein SmcY)	KDM5D HY HYA JARID1D KIAA0234 SMCY	Homo sapiens (Human)	1539	TFs
Q99583	MNT_HUMAN	reviewed	Max-binding protein MNT (Class D basic helix-loop-helix protein 3) (bHLHd3) (Myc antagonist MNT) (Protein ROX)	MNT BHLHD3 ROX	Homo sapiens (Human)	582	TFs
Q01664	TFAP4_HUMAN	reviewed	Transcription factor AP-4 (Activating enhancer-binding protein 4) (Class C basic helix-loop-helix protein 41) (bHLHc41)	TFAP4 BHLHC41	Homo sapiens (Human)	338	TFs
P23409	MYF6_HUMAN	reviewed	Myogenic factor 6 (Myf-6) (Class C basic helix-loop-helix protein 4) (bHLHc4) (Muscle-specific regulatory factor 4)	MYF6 BHLHC4 MRF4	Homo sapiens (Human)	242	TFs
P13349	MYF5_HUMAN	reviewed	Myogenic factor 5 (Myf-5) (Class C basic helix-loop-helix protein 2) (bHLHc2)	MYF5 BHLHC2	Homo sapiens (Human)	255	TFs
O96004	HAND1_HUMAN	reviewed	Heart- and neural crest derivatives-expressed protein 1 (Class A basic helix-loop-helix protein 27) (bHLHa27) (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND)	HAND1 BHLHA27 EHAND	Homo sapiens (Human)	215	TFs
Q14469	HES1_HUMAN	reviewed	Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL)	HES1 BHLHB39 HL HRY	Homo sapiens (Human)	280	TFs
Q02363	ID2_HUMAN	reviewed	DNA-binding protein inhibitor ID-2 (Class B basic helix-loop-helix protein 26) (bHLHb26) (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)	ID2 BHLHB26	Homo sapiens (Human)	134	TFs
P15173	MYOG_HUMAN	reviewed	Myogenin (Class C basic helix-loop-helix protein 3) (bHLHc3) (Myogenic factor 4) (Myf-4)	MYOG BHLHC3 MYF4	Homo sapiens (Human)	224	TFs
P35869	AHR_HUMAN	reviewed	Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76)	AHR BHLHE76	Homo sapiens (Human)	848	TFs
Q15672	TWST1_HUMAN	reviewed	Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist)	TWIST1 BHLHA38 TWIST	Homo sapiens (Human)	202	TFs
Q9Y4Z2	NGN3_HUMAN	reviewed	Neurogenin-3 (NGN-3) (Class A basic helix-loop-helix protein 7) (bHLHa7) (Protein atonal homolog 5)	NEUROG3 ATOH5 BHLHA7 NGN3	Homo sapiens (Human)	214	TFs
Q9C0J9	BHE41_HUMAN	reviewed	Class E basic helix-loop-helix protein 41 (bHLHe41) (Class B basic helix-loop-helix protein 3) (bHLHb3) (Differentially expressed in chondrocytes protein 2) (hDEC2) (Enhancer-of-split and hairy-related protein 1) (SHARP-1)	BHLHE41 BHLHB3 DEC2 SHARP1	Homo sapiens (Human)	482	TFs
Q9HD90	NDF4_HUMAN	reviewed	Neurogenic differentiation factor 4 (NeuroD4) (Class A basic helix-loop-helix protein 4) (bHLHa4) (Protein atonal homolog 3) (ATH-3) (Atoh3)	NEUROD4 ATH3 ATOH3 BHLHA4	Homo sapiens (Human)	331	TFs
Q12870	TCF15_HUMAN	reviewed	Transcription factor 15 (TCF-15) (Class A basic helix-loop-helix protein 40) (bHLHa40) (Paraxis) (Protein bHLH-EC2)	TCF15 BHLHA40 BHLHEC2	Homo sapiens (Human)	199	TFs
